run_id,prompt_id,language,variant_type,base_prompt,response_tokens,timestamp
run_20260316T175410_eb5c4a5b,0,en,base,what is the net worth of universal studios,64.0,2026-03-16T17:54:16.505017+00:00
run_20260316T175410_eb5c4a5b,0,en,paraphrase,what is the net worth of universal studios,64.0,2026-03-16T17:54:17.334733+00:00
run_20260316T175410_eb5c4a5b,0,en,instruction,what is the net worth of universal studios,64.0,2026-03-16T17:54:18.158085+00:00
run_20260316T175410_eb5c4a5b,0,en,context,what is the net worth of universal studios,64.0,2026-03-16T17:54:18.982983+00:00
run_20260316T175410_eb5c4a5b,0,en,short,what is the net worth of universal studios,64.0,2026-03-16T17:54:19.797877+00:00
run_20260316T175410_eb5c4a5b,1,en,base,when did the uk join the european union,64.0,2026-03-16T17:54:20.605636+00:00
run_20260316T175410_eb5c4a5b,1,en,paraphrase,when did the uk join the european union,64.0,2026-03-16T17:54:21.415473+00:00
run_20260316T175410_eb5c4a5b,1,en,instruction,when did the uk join the european union,64.0,2026-03-16T17:54:22.229375+00:00
run_20260316T175410_eb5c4a5b,1,en,context,when did the uk join the european union,64.0,2026-03-16T17:54:23.037058+00:00
run_20260316T175410_eb5c4a5b,1,en,short,when did the uk join the european union,64.0,2026-03-16T17:54:23.851206+00:00
run_20260316T175410_eb5c4a5b,2,en,base,dams on the missouri river in south dakota,64.0,2026-03-16T17:54:24.659906+00:00
run_20260316T175410_eb5c4a5b,2,en,paraphrase,dams on the missouri river in south dakota,64.0,2026-03-16T17:54:25.467159+00:00
run_20260316T175410_eb5c4a5b,2,en,instruction,dams on the missouri river in south dakota,64.0,2026-03-16T17:54:26.272009+00:00
run_20260316T175410_eb5c4a5b,2,en,context,dams on the missouri river in south dakota,64.0,2026-03-16T17:54:27.088765+00:00
run_20260316T175410_eb5c4a5b,2,en,short,dams on the missouri river in south dakota,64.0,2026-03-16T17:54:27.900862+00:00
run_20260316T175410_eb5c4a5b,3,en,base,who sings hot time summer in the city,64.0,2026-03-16T17:54:28.709616+00:00
run_20260316T175410_eb5c4a5b,3,en,paraphrase,who sings hot time summer in the city,64.0,2026-03-16T17:54:29.552855+00:00
run_20260316T175410_eb5c4a5b,3,en,instruction,who sings hot time summer in the city,64.0,2026-03-16T17:54:30.372699+00:00
run_20260316T175410_eb5c4a5b,3,en,context,who sings hot time summer in the city,60.0,2026-03-16T17:54:31.159383+00:00
run_20260316T175410_eb5c4a5b,3,en,short,who sings hot time summer in the city,64.0,2026-03-16T17:54:32.053527+00:00
run_20260316T175410_eb5c4a5b,4,en,base,who sings i just can't get enough,64.0,2026-03-16T17:54:32.864203+00:00
run_20260316T175410_eb5c4a5b,4,en,paraphrase,who sings i just can't get enough,64.0,2026-03-16T17:54:33.673658+00:00
run_20260316T175410_eb5c4a5b,4,en,instruction,who sings i just can't get enough,64.0,2026-03-16T17:54:34.482951+00:00
run_20260316T175410_eb5c4a5b,4,en,context,who sings i just can't get enough,62.0,2026-03-16T17:54:35.276740+00:00
